id,restaurant_id,restaurant_name,name,category,price,spicy,salty,sweet,portion,value,speed,signature,available,tags,source,last_checked,recommend_note,food_character
M068,C021,팔팔마라탕,88마라탕,찜/탕,9800,5,3,1,3,3,3,true,true,"[""혼밥"",""든든함"",""포장"",""배달"",""스트레스""]",메뉴판 사진,2026-06-17T00:00:00,,hot-soup
M069,C022,차곡히,순두부 제육볶음세트,한식,12000,3,3,2,3,2,2,true,true,"[""혼밥"",""든든함"",""단체"",""데이트"",""시험기간""]",메뉴판 사진,2026-06-17T00:00:00,,hot-soup
M070,C022,차곡히,된장찌개 제육볶음 세트,한식,12000,3,3,2,3,2,2,true,true,"[""혼밥"",""든든함"",""단체"",""데이트"",""시험기간""]",메뉴판 사진,2026-06-17T00:00:00,,hot-soup
M071,C023,레빗테이블,수제등심 돈가스,양식,10000,0,2,1,5,3,3,true,true,"[""든든함"",""데이트"",""스트레스""]",메뉴판 사진,2026-06-17T00:00:00,,main-dish
M072,C023,레빗테이블,레빗크림 파스타,양식,9500,1,3,3,2,3,3,true,true,"[""든든함"",""데이트"",""스트레스""]",메뉴판 사진,2026-06-17T00:00:00,,noodle-special
M073,C023,레빗테이블,레빗로제 파스타,양식,11000,2,3,3,2,3,3,true,true,"[""든든함"",""데이트"",""스트레스""]",메뉴판 사진,2026-06-17T00:00:00,,noodle-special
M074,C023,레빗테이블,베이컨 크림 리조또,양식,11000,2,3,3,2,3,3,true,true,"[""든든함"",""데이트"",""스트레스""]",메뉴판 사진,2026-06-17T00:00:00,,rice-meal
M075,C023,레빗테이블,고르곤졸라피자,양식,12000,0,2,4,2,3,3,true,true,"[""든든함"",""데이트"",""스트레스""]",메뉴판 사진,2026-06-17T00:00:00,,main-dish
M076,C024,고가밀면,물밀면,분식,8000,0,2,1,1,3,3,true,true,"[""혼밥"",""가볍게"",""빠른식사"",""해장"",""단체""]",메뉴판 사진,2026-06-17T00:00:00,,noodle-special
M077,C024,고가밀면,비빔면,분식,8000,2,3,2,1,3,3,true,true,"[""혼밥"",""가볍게"",""빠른식사"",""해장"",""단체""]",메뉴판 사진,2026-06-17T00:00:00,,noodle-special
